Gender,Webcam status during class,Mic status during class,Which device do you use for online classes?,Did you face any of the following issues after the initiation of online classes?,Are you able to understand the concepts through online classes?,Which teaching methodology do you prefer?,Are you interested in attending online classes?,If you are given a choice between online classes and offline classes which one will you choose?,Comments on online classes
Female,On (When teacher asks),On (To answer Teacher),Laptop,Stress,Yes,Presentations (ppt),Yes,Offline classes,Nothing 
Male,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache, Stress",Yes,Black board teaching,No,Offline classes,No any
Male,On (All the time),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress",No,Black board teaching,Yes,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),Laptop,No Issue,Yes,Presentations (ppt),No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Headache",Yes,Presentations (ppt),Yes,Online classes,
Male,Off (No webcam available),Off (Other reason),"Phone, Tab, Laptop, Computer","Eye Strain, Headache, Stress",Yes,Black board teaching,No,Offline classes,Practical knowledge is good and better to understand 
Male,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Headache",No,Presentations (ppt),No,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),"Tab, Laptop",No Issue,Yes,Presentations (ppt),Yes,Offline classes,I think it's very wonderful virtual platform through where we can enchance knowledge with making interacting to each other in comfortable manner
Male,On (When teacher asks),On (To answer Teacher),Laptop,Back pain,Yes,Presentations (ppt),Yes,Online classes,Other
Female,Off (No webcam available),Off (No mic available),Phone,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),Laptop,No Issue,Yes,Presentations (ppt),Yes,Online classes,good
Male,On (All the time),Always On,Phone,Back pain,Yes,Presentations (ppt),Yes,Offline classes,
Male,Off (No webcam available),Off (Other reason),Laptop,"Eye Strain, Headache",No,Black board teaching,No,Offline classes,I have an old laptop and its webcam and mic are not working.
Male,On (When teacher asks),On (To answer Teacher),"Tab, Laptop","Eye Strain, Back pain, Headache, Stress",Yes,Black board teaching,No,Offline classes,
Female,On (All the time),On (To answer Teacher),Phone,Eye Strain,Yes,Presentations (ppt),No,Offline classes,No
Male,Off (Other reason),Off (Other reason),Phone,"Eye Strain, Back pain, Headache",Yes,Presentations (ppt),Yes,Online classes,n
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Headache",Yes,Presentations (ppt),Yes,Offline classes,
Female,Off (Other reason),On (To answer Teacher),Phone,No Issue,Yes,Presentations (ppt),Yes,Online classes,
Male,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain",Yes,Black board teaching,Yes,Offline classes,
Female,Off (Other reason),Off (Other reason),"Phone, Laptop",No Issue,Yes,Presentations (ppt),Yes,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache, Stress",Yes,Presentations (ppt),Yes,Online classes,Better to give less home work 
Male,On (All the time),Always On,"Phone, Laptop","Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,
Male,On (All the time),Always On,"Phone, Laptop","Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,
Male,Off (Other reason),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,
Male,Off (Untidy appearance),Off (Do not want to reply),Phone,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,"Waste of time actually 
Unable to concentrate!! 
Idk wtf I'm going to get with this sort of online life!!
"
Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Headache",Yes,Black board teaching,No,Offline classes,
Male,Off (Other reason),On (To answer Teacher),Phone,"Eye Strain, Headache",No,Black board teaching,No,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),Laptop,No Issue,Yes,Black board teaching,Yes,Offline classes,
Male,On (All the time),On (To answer Teacher),Laptop,"Eye Strain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,
Female,On (All the time),On (To answer Teacher),Laptop,No Issue,Yes,Presentations (ppt),Yes,Online classes,Good
Female,Off (Shy to switch on),On (To answer Teacher),"Phone, Laptop, Computer","Eye Strain, Headache, Stress",Yes,Presentations (ppt),No,Online classes,"Firstly,In this COVID pandemic I personally don’t wNt to attend these stupid classes.
Secondly,no one is interested.
So pls don’t attend "
Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Headache, Stress",No,Black board teaching,Yes,Offline classes,no motivation can make every student be active throughout the class due to surrounds 
Female,On (All the time),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache, Stress",No,Presentations (ppt),No,Offline classes,
Female,Off (Other reason),On (To answer Teacher),"Phone, Laptop",Back pain,Yes,Black board teaching,No,Offline classes,Online classes are not as effective as offline classes. The teacher-student interaction is a key feature of education. I personally thought that this kind of online education would be prevailing in future. But due to the pandemic we are ought to listen the online classes. And the way we listen to either an online class or an offline depends on the way a teacher teaches as well. 
Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Headache",Yes,Black board teaching,Yes,Offline classes,Make interesting
Male,On (When teacher asks),On (To answer Teacher),Computer,Back pain,No,Black board teaching,No,Offline classes,"Lectures are trying their level best 
But we prefer offline classes"
Male,On (When teacher asks),On (To answer Teacher),Laptop,Headache,Yes,Presentations (ppt),Yes,Online classes,
Male,On (All the time),Always On,Laptop,No Issue,Yes,Presentations (ppt),Yes,Online classes,
Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop",Eye Strain,Yes,Presentations (ppt),Yes,Offline classes,It is good in difficult time but offline makes us interact more
Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop",Other,Yes,Black board teaching,Yes,Offline classes,
Female,Off (Other reason),On (To answer Teacher),Laptop,Eye Strain,Yes,Black board teaching,Yes,Offline classes,
Female,Off (Other reason),On (To answer Teacher),Laptop,"Eye Strain, Back pain",No,Presentations (ppt),No,Offline classes,We can't concentrate on it for long .. 
Female,On (When teacher asks),On (To answer Teacher),Laptop,Back pain,Yes,Presentations (ppt),Yes,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),"Phone, Tab, Laptop","Eye Strain, Stress",Yes,Presentations (ppt),Yes,Online classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,No Issue,Yes,Black board teaching,No,Offline classes,
Male,Off (Other reason),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress, Other",No,Presentations (ppt),No,Offline classes,Online classes are waste we cant understand anything please as soon as possible start the college
Male,Off (Shy to switch on),Off (Do not want to reply),Phone,"Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,
Male,Off (No webcam available),Off (No mic available),Phone,Stress,No,Black board teaching,No,Offline classes,It's not perfect for all the students 
Female,On (When teacher asks),Off (Other reason),Laptop,Headache,No,Black board teaching,No,Offline classes,Need offline classes for better understanding the concepts. 
Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,"Too boring, demands a lot of time "
Male,Off (Other reason),On (To answer Teacher),Phone,"Eye Strain, Back pain",No,Presentations (ppt),No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Phone,No Issue,No,Black board teaching,No,Offline classes,"It's difficult to understand the concepts
Many network issues while listening the class"
Female,Off (No webcam available),Off (No mic available),Phone,"Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,"It's okay to have some delaying in classes...and not necessary in having online classes
They do  ask for fee....but are they paying our internet bills?"
Male,On (All the time),Always On,Laptop,No Issue,Yes,Black board teaching,Yes,Offline classes,Good
Male,Off (No webcam available),Off (Other reason),Phone,"Eye Strain, Headache",No,Black board teaching,No,Online classes,
Female,Off (Shy to switch on),On (To answer Teacher),Phone,No Issue,No,Presentations (ppt),No,Offline classes,The way of teaching should grab every students attention 
Female,Off (Shy to switch on),On (To answer Teacher),Phone,"Eye Strain, Stress",No,Presentations (ppt),No,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop",Back pain,Yes,Presentations (ppt),Yes,Online classes,
Female,On (When teacher asks),On (To answer Teacher),Phone,Headache,No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop",No Issue,Yes,Black board teaching,Yes,Offline classes,Having issues with network sometimes in online classes
Male,On (All the time),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache",Yes,Black board teaching,No,Offline classes,  
Female,Off (Other reason),On (To answer Teacher),Phone,"Eye Strain, Back pain, Stress, Other",No,Black board teaching,No,Offline classes,As my laptop is a very old one and has just 4GB ram I'm unable to run zoom and other apps like visual studio code simultaneously. And if I do such things my laptop gets shutdown automatically. And it is not possible for me to buy an other laptop in this lockdown situation. Also I cannot share screen in my system for more than  10-15 mins. As it gets shutdown in that case as well. 
Male,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,Yes,Presentations (ppt),No,Offline classes,"Only preferred when there is no other option , else offline is best "
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Back pain, Stress",Yes,Black board teaching,Yes,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,not nice
Female,Off (No webcam available),Off (No mic available),Computer,Back pain,Yes,Presentations (ppt),Yes,Offline classes,"It is better sometimes but not all the times
"
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Back pain, Stress",No,Black board teaching,Yes,Offline classes,
Male,On (When teacher asks),Off (Do not want to reply),Laptop,"Eye Strain, Back pain, Stress",No,Presentations (ppt),No,Online classes,
Male,On (When teacher asks),On (To answer Teacher),Phone,Eye Strain,No,Black board teaching,No,Offline classes,Nothing! 
Female,Off (Untidy appearance),Off (No mic available),Tab,Headache,No,Black board teaching,Yes,Offline classes,No intrested
Male,On (All the time),Off (Do not want to reply),Computer,"Eye Strain, Back pain, Headache, Stress",Yes,Presentations (ppt),Yes,Online classes,Good
Female,Off (Other reason),Off (No mic available),Laptop,"Eye Strain, Back pain, Headache, Stress",Yes,Black board teaching,Yes,Online classes,Good
Female,Off (Shy to switch on),Off (No mic available),Laptop,Headache,No,Presentations (ppt),No,Offline classes,Not interesting
Male,On (When teacher asks),On (To answer Teacher),Laptop,No Issue,No,Black board teaching,Yes,Offline classes,
Male,Off (Other reason),Off (Other reason),"Phone, Tab, Laptop, Computer","Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,"ONLINE CLASS IS WASTE OF TIME,EVERYONE KNOWS THAT INCLUDING PROFESSOR'S. THEY JUST DO IT BECAUSE OF HEADACHES, THEY DONT DO IT BY HEART, WASTE OF OUR TIME,THEIR TIME,EVERYBODY TIME"
Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,"Offline classes are much more effective and interesting than online classes. So, I don't like attending or listening online classes than offline."
Male,On (All the time),Always On,Phone,Eye Strain,No,Black board teaching,No,Offline classes,Say no to online classes and ban the online classes
Female,Off (No webcam available),Off (No mic available),Laptop,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,Online classes are available for each and every student some are staying in villages their we do not have proper data we don't have any wifi available...we are not able lo listen properly if the faculty is asking any questions we are not able lo answer then...  We do not have 3-4 rooms in a house to listen with out any of the disturbance.. We are suffering from eye strain a lot 
Female,On (When teacher asks),On (To answer Teacher),Laptop,No Issue,Yes,Presentations (ppt),Yes,Online classes,It’s better than offline 
Female,On (When teacher asks),On (To answer Teacher),"Phone, Tab, Laptop","Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
Female,On (All the time),On (To answer Teacher),Laptop,"Eye Strain, Back pain",Yes,Presentations (ppt),Yes,Online classes,Good
Female,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,
Female,On (All the time),On (To answer Teacher),Laptop,No Issue,Yes,Presentations (ppt),Yes,Online classes,Good.
Male,On (When teacher asks),On (To answer Teacher),"Phone, Tab, Laptop, Computer","Headache, Stress",No,Presentations (ppt),No,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop",Other,No,Presentations (ppt),Yes,Offline classes,
Female,Off (Other reason),On (To answer Teacher),Phone,Back pain,No,Presentations (ppt),No,Offline classes,
Male,On (All the time),On (To answer Teacher),Laptop,Eye Strain,Yes,Presentations (ppt),No,Online classes,
Female,On (When teacher asks),On (To answer Teacher),Computer,Back pain,Yes,Black board teaching,Yes,Offline classes,The explanation is good through the online classes.
Male,On (When teacher asks),On (To answer Teacher),Phone,Headache,No,Presentations (ppt),No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,No,Black board teaching,No,Offline classes,Offline is best
Female,On (All the time),Always On,"Phone, Laptop",No Issue,Yes,Black board teaching,Yes,Offline classes,For the present situation we have to prefer for online classes 
Female,Off (No webcam available),Off (No mic available),Phone,"Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,
Male,On (All the time),On (To answer Teacher),Laptop,Eye Strain,No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,Stress,Yes,Presentations (ppt),Yes,Offline classes,Nothing 
Male,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Other",Yes,Presentations (ppt),Yes,Offline classes,It is ok but offline classes are more interesting 
Male,Off (Other reason),Off (Other reason),Laptop,"Eye Strain, Back pain, Headache, Stress, Other",Yes,Presentations (ppt),Yes,Online classes,
Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop",Other,Yes,Presentations (ppt),Yes,Offline classes,
Female,Off (No webcam available),Off (Other reason),Phone,Stress,No,Black board teaching,No,Offline classes,Cancel online classes
Female,Off (Shy to switch on),On (To answer Teacher),"Phone, Laptop, Computer","Eye Strain, Headache, Stress",Yes,Presentations (ppt),No,Online classes,"Firstly,In this COVID pandemic I personally don’t wNt to attend these stupid classes.
Secondly,no one is interested.
So pls don’t attend "
Male,On (When teacher asks),On (To answer Teacher),Tab,"Eye Strain, Headache",Yes,Presentations (ppt),No,Offline classes,Offline > Online
Male,Off (Other reason),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache, Stress",Yes,Black board teaching,No,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),Phone,"Back pain, Headache",Yes,Presentations (ppt),Yes,Offline classes,Just keep 30mns a class
Female,Off (Other reason),On (To answer Teacher),Laptop,"Back pain, Headache",Yes,Black board teaching,Yes,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),Phone,"Headache, Stress",No,Black board teaching,No,Offline classes,
Female,Off (Shy to switch on),On (To answer Teacher),Phone,Headache,Yes,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache",Yes,Presentations (ppt),Yes,Offline classes,When there is a power cut we are unable to connect until power comes
Male,Off (Shy to switch on),Off (Do not want to reply),"Phone, Laptop",No Issue,Yes,Black board teaching,Yes,Offline classes,No comments 
Female,Off (Shy to switch on),On (To answer Teacher),Phone,"Eye Strain, Back pain",No,Black board teaching,No,Online classes,
Male,Off (Shy to switch on),Off (Do not want to reply),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,Sleepy
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache, Stress",Yes,Presentations (ppt),Yes,Offline classes,
Male,Off (Other reason),Off (Other reason),Laptop,Back pain,No,Black board teaching,No,Offline classes,Eradicate this
Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Headache, Stress",No,Black board teaching,No,Offline classes,
Female,Off (Untidy appearance),Off (Other reason),"Phone, Laptop","Back pain, Headache",No,Black board teaching,No,Offline classes,
Male,Off (Shy to switch on),On (To answer Teacher),Laptop,No Issue,Yes,Presentations (ppt),Yes,Offline classes,
Male,Off (Other reason),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,Not useful 
Female,On (When teacher asks),On (To answer Teacher),"Laptop, Computer","Eye Strain, Back pain, Headache",Yes,Black board teaching,No,Offline classes,
Female,Off (Untidy appearance),On (To answer Teacher),"Phone, Tab, Laptop, Computer","Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,
Male,Off (Other reason),Off (Other reason),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress",No,Presentations (ppt),No,Offline classes,its tiring 
Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
Male,On (All the time),Always On,Phone,No Issue,Yes,Presentations (ppt),Yes,Offline classes,
Male,Off (Shy to switch on),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress",No,Presentations (ppt),No,Offline classes,
Male,Off (Untidy appearance),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,Yes,Offline classes,
Female,Off (Untidy appearance),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,Facing many health issues like headache and eye strain. 
Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Headache",No,Black board teaching,No,Offline classes,
Female,Off (Untidy appearance),Off (Do not want to reply),"Phone, Laptop",Headache,No,Presentations (ppt),No,Offline classes,Nothing much say about online classes it's so boring 
Female,On (When teacher asks),On (To answer Teacher),Laptop,No Issue,Yes,Presentations (ppt),Yes,Online classes,It’s better than offline 
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache, Stress",Yes,Presentations (ppt),Yes,Online classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,Headache,No,Black board teaching,No,Offline classes,
Female,On (All the time),Off (Other reason),Laptop,"Eye Strain, Headache, Stress",Yes,Presentations (ppt),Yes,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),"Phone, Tab, Laptop","Eye Strain, Back pain, Headache, Stress",No,Presentations (ppt),No,Offline classes,"-We cannot always on our videos as it is disturbing the privacy of our home. 
-Eyes are getting strained while continuously look at it. 
-Many students are facing headache problem and back pain 
-Watching continuously till 4 o'clock everyday is leading to health issues. 
-Internet problems, less bandwidth"
Female,Off (Other reason),On (To answer Teacher),Laptop,"Back pain, Headache",Yes,Black board teaching,Yes,Offline classes,
Male,On (All the time),Always On,Phone,Eye Strain,No,Black board teaching,No,Offline classes,Say no to online classes and ban the online classes
Female,Off (Other reason),Off (Other reason),Laptop,No Issue,Yes,Black board teaching,No,Offline classes,
Female,Off (Other reason),Off (Other reason),Phone,Other,Yes,Presentations (ppt),Yes,Offline classes,
Female,Off (No webcam available),On (To answer Teacher),Phone,"Eye Strain, Headache",Yes,Black board teaching,No,Offline classes,
Female,Off (Other reason),Off (Other reason),Laptop,No Issue,Yes,Black board teaching,No,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),Laptop,"Back pain, Headache",No,Black board teaching,No,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),Laptop,"Back pain, Headache",No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
Male,Off (Other reason),Off (Do not want to reply),Phone,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,I'm not able follow the classes and I'm not understanding
Male,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,Yes,Black board teaching,Yes,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Headache",No,Presentations (ppt),No,Offline classes,
Male,Off (Untidy appearance),Off (Do not want to reply),Phone,"Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop",No Issue,Yes,Presentations (ppt),Yes,Online classes,
Male,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain",No,Black board teaching,No,Offline classes,
Female,Off (Other reason),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,Online classes are an optional way to educate students in this pandemic .. but they need to think about students life .. sitting before phone is ok for 2-3hrs a day but it’s not fine for 6-7 hrs .. some parents won’t understand wht actually going on and they think their kids r wasting tym using social media .. but students are undergoing more and more health issues as they r spending 6-7 hrs on mobile a day to listen classes and the institutions is also giving a lot of assigenemts and homework’s which is causing a lot of burden to students mind 
Male,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache, Stress",Yes,Black board teaching,Yes,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache, Stress",Yes,Black board teaching,Yes,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),"Phone, Tab","Eye Strain, Stress",Yes,Black board teaching,Yes,Offline classes,Online classes are helping much to people to improve our knowledge from home and saving time ... but it also effecting eyes and physical parts soo my conclusion is they are having advantages and disadvantages by online classes .
Female,Off (Other reason),On (To answer Teacher),Laptop,Eye Strain,No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,Headache,Yes,Presentations (ppt),Yes,Online classes,
Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Back pain, Headache",Yes,Presentations (ppt),Yes,Online classes,
Male,Off (No webcam available),On (To answer Teacher),Phone,"Eye Strain, Headache, Stress",No,Black board teaching,No,Offline classes,
Female,On (All the time),On (To answer Teacher),Laptop,No Issue,Yes,Black board teaching,Yes,Online classes,good
Female,Off (Other reason),On (To answer Teacher),Phone,Headache,Yes,Black board teaching,Yes,Offline classes,
Male,Off (Other reason),On (To answer Teacher),Laptop,Eye Strain,Yes,Presentations (ppt),Yes,Online classes,
Male,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,Yes,Black board teaching,Yes,Offline classes,
Female,Off (Other reason),Off (Other reason),"Phone, Laptop","Eye Strain, Headache",No,Black board teaching,No,Offline classes,
Female,Off (Other reason),On (To answer Teacher),Laptop,"Back pain, Headache, Other",No,Black board teaching,Yes,Offline classes,"Teachers seem to be just reading out of the ppts, so its hard to follow."
Male,Off (Untidy appearance),Off (Other reason),"Phone, Laptop","Eye Strain, Stress",No,Presentations (ppt),No,Offline classes,
Male,Off (No webcam available),Off (No mic available),Computer,"Eye Strain, Back pain, Headache, Stress",Yes,Presentations (ppt),Yes,Online classes,
Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),"Phone, Tab",No Issue,No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,"
"
Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop",No Issue,Yes,Presentations (ppt),Yes,Online classes,
Male,Off (No webcam available),Off (Do not want to reply),Phone,"Back pain, Stress",No,Black board teaching,No,Offline classes,
Male,Off (Untidy appearance),On (To answer Teacher),Phone,No Issue,No,Presentations (ppt),No,Offline classes,
Male,Off (Other reason),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,Not useful 
Male,On (All the time),Always On,Phone,Headache,Yes,Presentations (ppt),Yes,Offline classes,
Female,Off (Untidy appearance),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain",Yes,Black board teaching,No,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain",Yes,Black board teaching,No,Offline classes,
Male,Off (Other reason),Off (Other reason),Phone,No Issue,Yes,Presentations (ppt),Yes,Online classes,"As per the schedule given to every student in  glearn which is used to open the zoom meeting classes. I am not able to get some to classes in schedule for the particular day 
By this issue am missing some of my classes. From 2 to 3 days iam facing this issue. "
Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
Male,Off (No webcam available),Off (Do not want to reply),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress",No,Black board teaching,Yes,Online classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,No Issue,Yes,Presentations (ppt),Yes,Offline classes,
Female,Off (Shy to switch on),On (To answer Teacher),"Phone, Laptop, Computer","Eye Strain, Headache, Stress",Yes,Presentations (ppt),No,Online classes,"Firstly,In this COVID pandemic I personally don’t wNt to attend these stupid classes.
Secondly,no one is interested.
So pls don’t attend "
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Back pain, Stress",Yes,Black board teaching,Yes,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop",No Issue,Yes,Presentations (ppt),Yes,Online classes,
Male,Off (No webcam available),On (To answer Teacher),Phone,"Eye Strain, Headache, Stress",Yes,Presentations (ppt),Yes,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,No,Black board teaching,No,Offline classes,Offline is best
Male,On (When teacher asks),On (To answer Teacher),Tab,"Eye Strain, Headache",Yes,Presentations (ppt),No,Offline classes,Offline > Online
Female,On (When teacher asks),Off (Do not want to reply),Laptop,Headache,No,Black board teaching,No,Offline classes,
Male,On (All the time),Always On,Phone,"Eye Strain, Headache, Stress",Yes,Presentations (ppt),Yes,Offline classes,None
Male,Off (Untidy appearance),On (To answer Teacher),"Phone, Laptop",Back pain,No,Black board teaching,No,Offline classes,"Offline classes are better because of only one reason : we are getting adicted to digitalization more now a days, which will cause alot of problems. "
Male,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain",No,Presentations (ppt),Yes,Offline classes,"Even if I try to concentrate a lot, I can do it hardly for an hour, then I sway from the studying zone. Its takes me 10-15 min to come back into that zone. I would prefer offline classes anytime, but due to the situation, there's no other way."
Female,Off (Other reason),On (To answer Teacher),"Phone, Laptop",Eye Strain,No,Presentations (ppt),Yes,Online classes,
Male,On (When teacher asks),On (To answer Teacher),"Phone, Tab, Laptop",No Issue,No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Headache, Stress",Yes,Presentations (ppt),Yes,Offline classes,"If that is the best option available for our safety, we go with it. "
Male,On (When teacher asks),On (To answer Teacher),Laptop,No Issue,No,Black board teaching,No,Offline classes,Nothing
Male,Off (Shy to switch on),Off (Do not want to reply),Laptop,"Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,🤮
Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Other",Yes,Black board teaching,Yes,Online classes,Nothing
Male,Off (Untidy appearance),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress",Yes,Presentations (ppt),Yes,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),Phone,Other,No,Black board teaching,No,Online classes,
Female,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,I think it should be more interactive
Male,On (When teacher asks),On (To answer Teacher),Computer,"Eye Strain, Headache",No,Black board teaching,No,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain",Yes,Black board teaching,Yes,Offline classes,
Male,Off (No webcam available),On (To answer Teacher),Phone,"Eye Strain, Headache, Stress",No,Black board teaching,No,Offline classes,
